Test cases on random data:
Array Size	Bubble	Insertion	Merge	Quick
**********	******	*********	*****	******
    10    	0	0		0
    50    	0	0		0
    100   	0	0		0
    200   	0	0		0
    300   	0	0		0
    400   	0	16		0
    500   	0	0		0
    1000  	15	0		0
    2000  	47	0		0
    3000  	94	0		0
    4000  	157	15		0
    5000  	235	15		0
    10000 	906	62
    50000 	22188	1672
    100000	88969	6703

Test cases on sorted data:
Array Size	Bubble	Insertion	Merge	Quick
**********	******	*********	*****	******
    10    	0	0		0
    50    	0	0		0
    100   	0	0		0
    200   	0	0		0
    300   	0	0		0
    400   	0	0		0
    500   	0	0		0
    1000  	0	0		0
    2000  	0	0		0
    3000  	0	0		0
    4000  	0	0		0
    5000  	0	0		0
    10000 	0	0
    50000 	0	0
    100000	0	0

Test cases on inverted sorted data:
Array Size	Bubble	Insertion	Merge	Quick
**********	******	*********	*****	******
    10    	0	0		0
    50    	0	0		0
    100   	0	0		0
    200   	0	0		0
    300   	0	0		0
    400   	0	0		0
    500   	0	0		0
    1000  	0	15		0
    2000  	47	16		0
    3000  	109	16		0
    4000  	203	31		0
    5000  	328	32		0
    10000 	1313	140
    50000 	32797	3312
